file,sound,param,value,crest_factor_db,spectral_centroid_hz,spectral_centroid_hz_100ms,centroid_slope_hz_per_ms,band_sub_share,band_low_share,band_lowmid_share,band_mid_share,band_high_share,band_air_share,decay20_ms,decay40_ms,sustain_share,conf
corpus:008-x-d-d-cuba-connection@1.73,space,corpus,1.73,13.42965,5402.74878,5402.74878,53.10914,0.13692,0.35411,0.01545,0.00273,0.0529,0.43789,52.0,80.0,0.10057,0.949
corpus:008-x-d-d-cuba-connection@5.259,space,corpus,5.259,13.57641,5338.88826,5338.88826,50.78871,0.11556,0.34892,0.02179,0.0027,0.05992,0.45111,44.0,80.0,0.10388,0.932
corpus:008-x-d-d-cuba-connection@22.895,space,corpus,22.895,16.74248,4879.07454,4780.46935,49.96293,0.02502,0.09157,0.00411,0.00107,0.10009,0.77813,28.0,104.0,0.75154,0.901
corpus:008-x-d-d-cuba-connection@20.167,kick,corpus,20.167,10.27007,2382.71555,2528.87424,-30.61676,0.4207,0.50544,0.03042,0.00527,0.00602,0.03215,42.0,116.0,0.34763,0.888
corpus:008-x-d-d-cuba-connection@2.508,kick,corpus,2.508,10.3599,2190.69149,2440.8748,-23.33694,0.42812,0.49766,0.03519,0.00397,0.00543,0.02963,68.0,126.0,0.43964,0.887
corpus:008-x-d-d-cuba-connection@27.225,kick,corpus,27.225,10.25179,2434.21896,2492.91182,-28.17899,0.41963,0.50174,0.03446,0.00612,0.00601,0.03205,42.0,116.0,0.35477,0.887
corpus:008-x-d-d-cuba-connection@28.99,kick,corpus,28.99,10.27433,2386.12793,2475.32636,-28.92018,0.41285,0.50819,0.03571,0.0061,0.00591,0.03123,42.0,116.0,0.35476,0.884
corpus:008-x-d-d-cuba-connection@6.049,kick,corpus,6.049,10.40131,2339.26669,2520.47323,-32.70802,0.41079,0.51194,0.03071,0.00496,0.00631,0.03528,14.0,116.0,0.34838,0.882
corpus:008-x-d-d-cuba-connection@21.931,kick,corpus,21.931,10.23794,2440.50726,2513.90958,-28.10133,0.41198,0.51323,0.03071,0.00592,0.00627,0.03189,14.0,116.0,0.36221,0.882
corpus:008-x-d-d-cuba-connection@40.472,kick,corpus,40.472,7.76926,1970.3962,2235.1065,-36.27669,0.40745,0.45926,0.09049,0.0109,0.00895,0.02295,104.0,104.0,0.48792,0.882
corpus:008-x-d-d-cuba-connection@36.479,kick,corpus,36.479,11.35748,2580.10675,2682.58852,-9.75108,0.45742,0.44729,0.0358,0.00215,0.00876,0.04858,42.0,94.0,0.26278,0.88
corpus:008-x-d-d-cuba-connection@30.743,kick,corpus,30.743,10.26451,2156.49103,2440.89879,-17.84132,0.42205,0.50538,0.03827,0.00339,0.00471,0.0262,68.0,128.0,0.43246,0.879
corpus:008-x-d-d-cuba-connection@4.284,kick,corpus,4.284,10.46387,2387.08645,2492.32381,-40.01591,0.40147,0.51847,0.03391,0.00506,0.00654,0.03455,68.0,116.0,0.36391,0.877
corpus:008-x-d-d-cuba-connection@29.42,kick,corpus,29.42,10.55473,2802.29508,2690.5935,-9.15255,0.45795,0.4478,0.03259,0.0023,0.0091,0.05027,42.0,104.0,0.26639,0.877
corpus:008-x-d-d-cuba-connection@25.461,kick,corpus,25.461,10.32706,2358.85629,2489.86581,-30.56567,0.39834,0.52059,0.03571,0.00609,0.00628,0.033,78.0,116.0,0.36133,0.876
corpus:008-x-d-d-cuba-connection@26.459,hat,corpus,26.459,16.72471,5048.23611,5048.23611,-61.4668,0.04848,0.0446,0.01201,0.00088,0.09522,0.79881,24.0,92.0,0.07241,0.868
corpus:008-x-d-d-cuba-connection@16.858,hat,corpus,16.858,16.83359,4209.56296,4405.63602,-74.01895,0.00381,0.13267,0.21221,0.00904,0.07568,0.56659,40.0,104.0,0.2169,0.852
corpus:008-x-d-d-cuba-connection@10.646,hat,corpus,10.646,14.60415,4552.16431,5323.33946,-47.9851,0.00877,0.26549,0.40315,0.00465,0.03742,0.28052,116.0,116.0,0.99603,0.827
corpus:008-x-d-d-cuba-connection@29.989,hat,corpus,29.989,15.3884,4330.49248,4548.49433,-57.26467,0.1747,0.18465,0.01206,0.00214,0.06825,0.5582,24.0,104.0,0.25238,0.781
corpus:008-x-d-d-cuba-connection@18.971,hat,corpus,18.971,11.66144,3545.46263,3545.46263,-78.49159,0.04726,0.55671,0.07579,0.00105,0.03521,0.28397,92.0,92.0,0.54726,0.779
corpus:008-x-d-d-cuba-connection@12.411,hat,corpus,12.411,14.62109,4498.32435,5435.13258,-40.91499,0.00673,0.27226,0.40875,0.00453,0.03807,0.26966,58.0,128.0,0.99555,0.772
corpus:008-x-d-d-cuba-connection@0.43,hat,corpus,0.43,11.46179,3671.7529,3836.98597,-71.71631,0.06439,0.5428,0.10206,0.00446,0.0286,0.2577,66.0,104.0,0.59444,0.743
corpus:008-x-d-d-cuba-connection@8.882,hat,corpus,8.882,14.73361,5108.83335,5306.99342,-33.73499,0.00512,0.2106,0.43254,0.00528,0.04028,0.30618,104.0,104.0,0.99467,0.73
corpus:008-x-d-d-cuba-connection@10.577,hook,corpus,10.577,15.09586,6631.87097,6631.87097,1.0219,0.03416,0.08234,0.00539,0.00226,0.0922,0.78365,28.0,68.0,0.00101,0.722
corpus:008-x-d-d-cuba-connection@15.848,hook,corpus,15.848,15.08908,4932.74367,5331.7074,2.36203,0.12062,0.35361,0.01545,0.0031,0.0556,0.45163,28.0,64.0,0.11842,0.719
corpus:008-x-d-d-cuba-connection@14.988,hook,corpus,14.988,16.92793,6329.17449,6324.404,-2.50239,0.06824,0.11567,0.00856,0.00256,0.08043,0.72454,26.0,68.0,0.00164,0.714
corpus:008-x-d-d-cuba-connection@7.024,hook,corpus,7.024,15.65324,4864.47994,5509.45274,-2.86905,0.11821,0.35645,0.01985,0.00296,0.05253,0.45001,52.0,138.0,0.11698,0.712
corpus:008-x-d-d-cuba-connection@11.564,hat,corpus,11.564,15.87904,3894.45781,4053.1737,-59.84182,0.01743,0.19541,0.23499,0.00904,0.06035,0.48277,56.0,104.0,0.28669,0.706
corpus:008-x-d-d-cuba-connection@8.812,hook,corpus,8.812,15.31181,6722.85094,6722.85094,0.58556,0.03592,0.07125,0.00252,0.00068,0.08813,0.8015,28.0,68.0,0.00103,0.704
